Compound,SMILES,Affinities
,,TG2 (IC50)
II-2,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1oc2c(cccc2)c1)=O)=O)=O)C,＜25
II-4,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1oc2c(cccc2)c1Cl)=O)=O)=O)C,＜25
II-5,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1oc2c(c(Br)ccc2)c1)=O)=O)=O)C,＜25
II-6,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1[s]c2c(cccc2)c1)=O)=O)=O)C,＜25
II-7,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1[s]c2c(cc(Br)cc2)c1)=O)=O)=O)C,＜25
II-8,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1[s]c2c(cccc2F)c1)=O)=O)=O)C,＜25
II-9,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1[n]c2c(cccc2)c1)=O)=O)=O)C,＜25
II-10,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1[n]c2c(c(F)c(F)cc2)c1)=O)=O)=O)C,＜25
II-11,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1[n]c2c(cccc2)c1C)=O)=O)=O)C,＜250
II-13,N(C(C(CC[C@@H](C(Nc1c(=O)[n](CC(NC2C3CC4CC(CC2C4)C3)=O)ccc1)=O)NC(c1cc2c(cccc2)c1)=O)=O)=O)C,＜25
,,
,,
