AlloyName,Composition,Composition,Composition,Composition,Composition
,Co,Al,Ni,Fe,C
C0,25.6 +- 0.5 at.%,24.8 +- 0.8 at.%,24.2 +- 0.4 at.%,25.4 +- 0.2 at.%,
C0.5,25.4 +- 0.8 at.%,26.4 +- 0.9 at.%,23.2 +- 1.7 at.%,25.0 +- 0.5 at.%,
C0.5,28.6 +- 0.9 at.%,16.5 +- 0.6 at.%,19.5 +- 2.6 at.%,35.4 +- 1.1 at.%,
C1.0,24.6 +- 0.2 at.%,27.3 +- 0.4 at.%,25.3 +- 0.2 at.%,22.8 +- 0.7 at.%,
C1.0,29.7 +- 0.5 at.%,14.3 +- 1.2 at.%,18.9 +- 0.3 at.%,37.1 +- 0.9 at.%,
C2.0,23.9 +- 1.1 at.%,29.3 +- 1.5 at.%,26.8 +- 0.5 at.%,20.0 +- 0.6 at.%,
C2.0,30.1 +- 0.8 at.%,13.7 +- 0.4 at.%,18.3 +- 0.3 at.%,37.9 +- 0.3 at.%,
C4.1,23.0 +- 0.2 at.%,31.4 +- 0.2 at.%,28.7 +- 0.5 at.%,16.9 +- 0.7 at.%,
C4.1,29.7 +- 0.2 at.%,16.6 +- 1.1 at.%,18.8 +- 0.8 at.%,34.9 +- 0.4 at.%,
C4.1,2.5 +- 0.9 at.%,1.2 +- 0.2 at.%,1.7 +- 0.6 at.%,3.8 +- 0.5 at.%,90.8 +- 1.2 at.%
