solute_name,solvent_name,temperature,pressure,solubility,
Caffeine,Water,20 °C,1 atm,20.0 ± 0.6 g/L
Acetophenone,Water,20 °C,1 atm,7.4 ± 1.7 g/L
Anisole,Water,20 °C,1 atm,2.4 ± 0.5 g/L
1-Butanol,Water,20 °C,1 atm,62 ± 3 g/L
Cyclohexanol,Water,20 °C,1 atm,41 ± 3 g/L
Furfural,Water,20 °C,1 atm,82 ± 2 g/L
2-Heptanone,Water,20 °C,1 atm,5.3 ± 0.1 g/L
Menthol,Water,20 °C,1 atm,0.58 ± 0.08 g/L
2-Octanone,Water,20 °C,1 atm,1.3 ± 0.2 g/L
1-Phenyl-1-pentanol,Water,20 °C,1 atm,0.69 ± 0.01 g/L
Toluene,Water,20 °C,1 atm,0.33 ± 0.01 g/L
Benzoic Acid,Water,20 °C,1 atm,2.6 ± 0.2 g/L
Capsaicin,Water,20 °C,1 atm,0.013 ± 0.002 g/L
Dihydrocapsaicin,Water,20 °C,1 atm,0.003 ± 0.001 g/L
Guaiacol,Water,20 °C,1 atm,24.6 ± 0.5 g/L
Thymol,Water,20 °C,1 atm,0.94 ± 0.01 g/L
