solute_name,solvent_name,temperature,pressure,solubility
Li2CO3,Water,0 oC,Not found,"1.54 g/100 g water"
Li2CO3,Water,10 oC,Not found,"1.43 g/100 g water"
Li2CO3,Water,20 oC,Not found,"1.33 g/100 g water"
Li2CO3,Water,25 oC,Not found,"1.29 g/100 g water"
Li2CO3,Water,30 oC,Not found,"1.25 g/100 g water"
Li2CO3,Water,40 oC,Not found,"1.17 g/100 g water"
Li2CO3,Water,50 oC,Not found,"1.08 g/100 g water"
Li2CO3,Water,60 oC,Not found,"1.01 g/100 g water"
Li2CO3,Water,80 oC,Not found,"0.85 g/100 g water"
Li2CO3,Water,100 oC,Not found,"0.72 g/100 g water"
LiOH.H2O,Water,0 oC,Not found,"12.7 g/100 g water"
LiOH.H2O,Water,10 oC,Not found,"12.7 g/100 g water"
LiOH.H2O,Water,20 oC,Not found,"12.8 g/100 g water"
LiOH.H2O,Water,25 oC,Not found,"12.9 g/100 g water"
LiOH.H2O,Water,30 oC,Not found,"12.9 g/100 g water"
LiOH.H2O,Water,40 oC,Not found,"13.00 g/100 g water"
LiOH.H2O,Water,50 oC,Not found,"13.3 g/100 g water"
LiOH.H2O,Water,60 oC,Not found,"13.8 g/100 g water"
LiOH.H2O,Water,80 oC,Not found,"15.3 g/100 g water"
LiOH.H2O,Water,100 oC,Not found,"17.5 g/100 g water"
LiCl,Water,0 oC,Not found,"67 g/100 g water"
LiCl,Water,10 oC,Not found,"72 g/100 g water"
LiCl,Water,20 oC,Not found,"78.5 g/100 g water"
LiCl,Water,25 oC,Not found,"81.5 g/100 g water"
LiCl,Water,30 oC,Not found,"84.5 g/100 g water"
LiCl,Water,40 oC,Not found,"90.5 g/100 g water"
LiCl,Water,50 oC,Not found,"97 g/100 g water"
LiCl,Water,60 oC,Not found,"103 g/100 g water"
LiCl,Water,80 oC,Not found,"115 g/100 g water"
LiCl,Water,100 oC,Not found,"127.6 g/100 g water"
Li2SO4,Water,0 oC,Not found,"26.1 g/100 g water"
Li2SO4,Water,10 oC,Not found,"25.9 g/100 g water"
Li2SO4,Water,20 oC,Not found,"25.5 g/100 g water"
Li2SO4,Water,25 oC,Not found,"25.3 g/100 g water"
Li2SO4,Water,30 oC,Not found,"25.1 g/100 g water"
Li2SO4,Water,40 oC,Not found,"24.7 g/100 g water"
Li2SO4,Water,50 oC,Not found,"24.5 g/100 g water"
Li2SO4,Water,60 oC,Not found,"24.2 g/100 g water"
Li2SO4,Water,80 oC,Not found,"23.5 g/100 g water"
Li2SO4,Water,100 oC,Not found,"23.0 g/100 g water"




