solute_name,solvent_name,temperature,pressure,solubility
I,n-octanol,20 ℃,Not found,81 mg/l
II,n-octanol,20 ℃,Not found,100 mg/l
III,n-octanol,20 ℃,Not found,120 mg/l
IV,n-octanol,20 ℃,Not found,170 mg/l
V,n-octanol,20 ℃,Not found,410 mg/l
VI,n-octanol,20 ℃,Not found,800 mg/l
VII,n-octanol,20 ℃,Not found,950 mg/l
VIII,n-octanol,20 ℃,Not found,1670 mg/l
IX,n-octanol,20 ℃,Not found,2100 mg/l
X,n-octanol,20 ℃,Not found,2430 mg/l
Atrazine,water,20 ℃,Not found,10400 mg/l
Coronene,water,20 ℃,Not found,14400 mg/l
DDT,water,20 ℃,Not found,28600-31800 mg/l
Hexachlorocyclohexane,water,20 ℃,Not found,15000 mg/l
Hexachlorobenzene,water,20 ℃,Not found,4350 mg/l
p-Dichlorobenzene,water,20 ℃,Not found,260000 mg/l
"1,2,4-Trichlorobenzene",water,20 ℃,Not found,Miscible
XI,water,20 ℃,Not found,0.2-2 mg/l
XII,water,20 ℃,Not found,0.002-0.02 mg/l
XIII,water,20 ℃,Not found,2*10^-6-10^-5 mg/l
XIV,water,20 ℃,Not found,5*10^-5-5*10^-4 mg/l
XV,water,20 ℃,Not found,2*10^-6-10^-5 mg/l
XVI,water,20 ℃,Not found,3*10^-6-2*10^-5 mg/l
XVII,water,20 ℃,Not found,1-60 mg/l
XVIII,water,20 ℃,Not found,0.1-5 mg/l
XIX,water,20 ℃,Not found,3*10^-4-2*10^-3 mg/l
XX,water,20 ℃,Not found,7*10^-18-2*10^-16 mg/l
XXI,water,20 ℃,Not found,8*10^-7-3*10^-4 mg/l
IIXX,water,20 ℃,Not found,3*10^-9-2*10^-8 mg/l
XXIII,water,20 ℃,Not found,3*10^-8-10^-7 mg/l
XI,n-octanol,20 ℃,Not found,9.4 mg/l
XII,n-octanol,20 ℃,Not found,17 mg/l
XIII,n-octanol,20 ℃,Not found,7.8 mg/l
XIV,n-octanol,20 ℃,Not found,0.5 mg/l
XV,n-octanol,20 ℃,Not found,0.46 mg/l
XVI,n-octanol,20 ℃,Not found,<0.5 mg/l
XVII,n-octanol,20 ℃,Not found,<1.5 mg/l
XVIII,n-octanol,20 ℃,Not found,3.5 mg/l
XIX,n-octanol,20 ℃,Not found,1.7 mg/l
XX,n-octanol,20 ℃,Not found,0.07 mg/l
XXI,n-octanol,20 ℃,Not found,<0.05 mg/l
XXII,n-octanol,20 ℃,Not found,<1 mg/l
XXIII,n-octanol,20 ℃,Not found,<0.1 mg/l

