solute_name,solvent_name,temperature,pressure,solubility
KBr,water,298.15 K,Not found,40.713 g/100g
KBr,water,303.15 K,Not found,41.67 g/100g
KBr,water,313.15 K,Not found,43.359 g/100g
KBr,water,323.15 K,Not found,44.932 g/100g
KBr,water,333.15 K,Not found,46.36 g/100g
KBr,water,343.15 K,Not found,47.725 g/100g
KBr,water,348.15 K,Not found,48.349 g/100g
KBr,water,353.15 K,Not found,48.961 g/100g
KBr,methanol,298.15 K,Not found,2.063 g/100g
KBr,methanol,303.15 K,Not found,2.150 g/100g
KBr,methanol,313.15 K,Not found,2.324 g/100g
KBr,methanol,323.15 K,Not found,2.503 g/100g
KBr,methanol,333.15 K,Not found,2.672 g/100g
KBr,ethanol,298.15 K,Not found,0.135 g/100g
KBr,ethanol,323.15 K,Not found,0.185 g/100g
KBr,ethanol,348.15 K,Not found,0.232 g/100g
KBr,water(w%=0.1)+methanol,298.15 K,Not found,3.124 g/100g
KBr,water(w%=0.1)+methanol,323.15 K,Not found,4.258 g/100g
KBr,water(w%=0.2)+methanol,298.15 K,Not found,5.206 g/100g
KBr,water(w%=0.2)+methanol,323.15 K,Not found,7.303 g/100g
KBr,water(w%=0.3)+methanol,298.15 K,Not found,8.35 g/100g
KBr,water(w%=0.3)+methanol,323.15 K,Not found,11.484 g/100g
KBr,water(w%=0.4)+methanol,298.15 K,Not found,12.291 g/100g
KBr,water(w%=0.4)+methanol,323.15 K,Not found,16.326 g/100g
KBr,water(w%=0.5)+methanol,298.15 K,Not found,16.662 g/100g
KBr,water(w%=0.5)+methanol,323.15 K,Not found,21.424 g/100g
KBr,water(w%=0.6)+methanol,298.15 K,Not found,21.334 g/100g
KBr,water(w%=0.6)+methanol,323.15 K,Not found,26.506 g/100g
KBr,water(w%=0.7)+methanol,298.15 K,Not found,26.131 g/100g
KBr,water(w%=0.7)+methanol,323.15 K,Not found,31.435 g/100g
KBr,water(w%=0.8)+methanol,298.15 K,Not found,31.033 g/100g
KBr,water(w%=0.8)+methanol,323.15 K,Not found,36.21 g/100g
KBr,water(w%=0.9)+methanol,298.15 K,Not found,35.833 g/100g
KBr,water(w%=0.9)+methanol,323.15 K,Not found,40.66 g/100g
KBr,water+ethanol(w%=0.206),298.15 K,Not found,0.268 g/100g
KBr,water+ethanol(w%=0.206),323.15 K,Not found,0.369 g/100g
KBr,water+ethanol(w%=0.3999),298.15 K,Not found,0.513 g/100g
KBr,water+ethanol(w%=0.3999),323.15 K,Not found,0.652 g/100g
KBr,water+ethanol(w%=0.6025),298.15 K,Not found,0.892 g/100g
KBr,water+ethanol(w%=0.6025),323.15 K,Not found,1.124 g/100g
KBr,water+ethanol(w%=0.8001),298.15 K,Not found,1.386 g/100g
KBr,water+ethanol(w%=0.8001),323.15 K,Not found,1.721 g/100g
KBr,water(w%=0.1000)+ethanol,298.15 K,Not found,0.734 g/100g
KBr,water(w%=0.1000)+ethanol,323.15 K,Not found,1.141 g/100g
KBr,water(w%=0.1000)+ethanol,348.15 K,Not found,1.593 g/100g
KBr,water(w%=0.2000)+ethanol,298.15 K,Not found,2.678 g/100g
KBr,water(w%=0.2000)+ethanol,323.15 K,Not found,4.010 g/100g
KBr,water(w%=0.2002)+ethanol,348.15 K,Not found,5.430 g/100g
KBr,water(w%=0.3000)+ethanol,298.15 K,Not found,6.112 g/100g
KBr,water(w%=0.3000)+ethanol,323.15 K,Not found,8.671 g/100g
KBr,water(w%=0.3000)+ethanol,348.15 K,Not found,11.060 g/100g
KBr,water(w%=0.4000)+ethanol,298.15 K,Not found,10.374 g/100g
KBr,water(w%=0.4000)+ethanol,323.15 K,Not found,14.043 g/100g
KBr,water(w%=0.3997)+ethanol,348.15 K,Not found,17.262 g/100g
KBr,water(w%=0.5000)+ethanol,298.15 K,Not found,14.997 g/100g
KBr,water(w%=0.5000)+ethanol,323.15 K,Not found,19.542 g/100g
KBr,water(w%=0.4995)+ethanol,348.15 K,Not found,23.317 g/100g
KBr,water(w%=0.5999)+ethanol,298.15 K,Not found,19.370 g/100g
KBr,water(w%=0.5999)+ethanol,323.15 K,Not found,24.908 g/100g
KBr,water(w%=0.6000)+ethanol,348.15 K,Not found,29.023 g/100g
KBr,water(w%=0.7000)+ethanol,298.15 K,Not found,24.574 g/100g
KBr,water(w%=0.7000)+ethanol,323.15 K,Not found,30.016 g/100g
KBr,water(w%=0.6992)+ethanol,348.15 K,Not found,34.124 g/100g
KBr,water(w%=0.8000)+ethanol,298.15 K,Not found,29.656 g/100g
KBr,water(w%=0.8000)+ethanol,323.15 K,Not found,35.015 g/100g
KBr,water(w%=0.8006)+ethanol,348.15 K,Not found,39.238 g/100g
KBr,water(w%=0.9000)+ethanol,298.15 K,Not found,35.121 g/100g
KBr,water(w%=0.9000)+ethanol,323.15 K,Not found,39.991 g/100g
KBr,water(w%=0.9000)+ethanol,348.15 K,Not found,43.929 g/100g
