solute_name,solvent_name,temperature,pressure,solubility
Water,MgSiO3 enstatite,1100 ℃,2 kbar,40±20 ppm
Water,MgSiO3 enstatite,1100 ℃,2 kbar,55±30 ppm
Water,MgSiO3 enstatite,1100 ℃,10 kbar,114±10 ppm
Water,MgSiO3 enstatite,1100 ℃,10 kbar,177±15 ppm
Water,MgSiO3 enstatite,1100 ℃,15 kbar,129±10 ppm
Water,MgSiO3 enstatite,1100 ℃,15 kbar,199±15 ppm
Water,MgSiO3 enstatite,1100 ℃,25 kbar,133±12 ppm
Water,MgSiO3 enstatite,1100 ℃,25 kbar,223±17 ppm
Water,MgSiO3 enstatite,1100 ℃,30 kbar,213±15 ppm
Water,MgSiO3 enstatite,1100 ℃,30 kbar,372±20 ppm
Water,MgSiO3 enstatite,1100 ℃,40 kbar,374±18 ppm
Water,MgSiO3 enstatite,1100 ℃,40 kbar,637±25 ppm
Water,MgSiO3 enstatite,1100 ℃,50 kbar,331±18 ppm
Water,MgSiO3 enstatite,1100 ℃,50 kbar,623±30 ppm
Water,MgSiO3 enstatite,1100 ℃,75 kbar,536±20 ppm
Water,MgSiO3 enstatite,1100 ℃,75 kbar,867±35 ppm
Water,MgSiO3 enstatite,1100 ℃,100 kbar,410±20 ppm
Water,MgSiO3 enstatite,1100 ℃,100 kbar,714±35 ppm
