solute_name,solvent_name,temperature,pressure,solubility
Water,1-hexanol,298.2 K,Not found,4.986 mol kg−1
Water,1-hexanol,298.2 K,Not found,4.2 mol kg−1
Water,1-hexanol,298.2 K,Not found,3.98 mol kg-1
Water,1-hexanol,298.2 K,Not found,4.19 mol kg-1
Water,1-hexanol,298.2 K,Not found,4.10 mol kg-1
Water,1-hexanol,298.2 K,Not found,4.32 mol kg-1
Water,1-hexanol,298.2 K,Not found,4.76 mol kg-1
Water,1-hexanol,298.2 K,Not found,4.76 mol kg-1
Water,1-octanol,298.2 K,Not found,2.949 mol kg−1
Water,1-octanol,298.2 K,Not found,2.7 mol kg−1
Water,1-octanol,298.2 K,Not found,2.00 mol kg-1
Water,1-octanol,298.2 K,Not found,2.91 mol kg-1
Water,1-octanol,298.2 K,Not found,2.58 mol kg-1
Water,1-octanol,298.2 K,Not found,2.80 mol kg-1
Water,1-octanol,298.2 K,Not found,2.79 mol kg-1
Water,1-octanol,298.2 K,Not found,2.74 mol kg-1
Water,1-decanol,298.2 K,Not found,2.412 mol kg−1
Water,1-decanol,298.2 K,Not found,2.1 mol kg−1
Water,1-decanol,298.2 K,Not found,2.30 mol kg-1
Water,1-decanol,298.2 K,Not found,2.18 mol kg-1
Water,1-decanol,298.2 K,Not found,2.21 mol kg-1
Water,cyclohexanol,298.2 K,Not found,8.221 mol kg−1
Water,cyclohexanol,298.2 K,Not found,7.11 mol kg-1
Water,cyclohexanol,298.2 K,Not found,7.62 mol kg-1
Water,cyclohexanol,298.2 K,Not found,9.04 mol kg-1

