solute_name,solvent_name,temperature,pressure,solubility
methane,water,273.00 K,10 MPa,44.21 mM
methane,water,273.00 K,20 MPa,41.88 mM
methane,water,273.00 K,30 MPa,39.71 mM
methane,water,274.00 K,10 MPa,47.21 mM
methane,water,274.00 K,20 MPa,47.76 mM
methane,water,274.00 K,30 MPa,42.36 mM
methane,water,275.00 K,10 MPa,50.43 mM
methane,water,275.00 K,20 MPa,47.81 mM
methane,water,275.00 K,30 MPa,45.25 mM
methane,water,276.00 K,10 MPa,53.93 mM
methane,water,276.00 K,20 MPa,51.06 mM
methane,water,276.00 K,30 MPa,48.33 mM
methane,water,277.00 K,10 MPa,57.63 mM
methane,water,278.00 K,20 MPa,58.50 mM
methane,water,277.00 K,30 MPa,51.77 mM
methane,water,278.00 K,10 MPa,61.68 mM
methane,water,280.00 K,20 MPa,66.70 mM
methane,water,278.00 K,30 MPa,55.39 mM
methane,water,279.00 K,10 MPa,66.02 mM
methane,water,282.00 K,20 MPa,76.74 mM
methane,water,279.00 K,30 MPa,59.15 mM
methane,water,280.00 K,10 MPa,70.67 mM
methane,water,284.00 K,20 MPa,88.10 mM
methane,water,280.00 K,30 MPa,63.19 mM
methane,water,282.00 K,10 MPa,81.03 mM
methane,water,286.00 K,20 MPa,100.94 mM
methane,water,281.00 K,30 MPa,67.68 mM
methane,water,283.00 K,10 MPa,86.94 mM
methane,water,288.00 K,20 MPa,116.79 mM
methane,water,282.00 K,30 MPa,72.48 mM
methane,water,284.00 K,10 MPa,93.26 mM
methane,water,290.00 K,20 MPa,135.54 mM
methane,water,283.00 K,30 MPa,77.75 mM
methane,water,285.00 K,10 MPa,100.00 mM
methane,water,291.00 K,20 MPa,146.04 mM
methane,water,284.00 K,30 MPa,83.29 mM
methane,water,286.00 K,10 MPa,107.51 mM
methane,water,291.50 K,20 MPa,151.63 mM
methane,water,285.00 K,30 MPa,89.35 mM
methane,water,286.23 K,10 MPa,109.26 mM
methane,water,291.75 K,20 MPa,154.46 mM
methane,water,286.00 K,30 MPa,95.83 mM
methane,water,286.25 K,10 MPa,109.23 mM
methane,water,291.85 K,20 MPa,155.63 mM
methane,water,288.00 K,30 MPa,110.84 mM
methane,water,286.50 K,10 MPa,108.76 mM
methane,water,291.91 K,20 MPa,156.36 mM
methane,water,290.00 K,30 MPa,127.50 mM
methane,water,287.00 K,10 MPa,107.85 mM
methane,water,292.00 K,20 MPa,156.19 mM
methane,water,292.00 K,30 MPa,148.24 mM
methane,water,290.00 K,10 MPa,102.79 mM
methane,water,294.00 K,20 MPa,152.32 mM
methane,water,294.00 K,30 MPa,172.33 mM
methane,water,295.00 K,10 MPa,150.51 mM
methane,water,295.00 K,20 MPa,95.72 mM
methane,water,295.10 K,30 MPa,187.68 mM
methane,water,300.00 K,10 MPa,142.62 mM
methane,water,300.00 K,20 MPa,178.7 mM
methane,water,295.50 K,30 MPa,186.88 mM
methane,water,296.00 K,30 MPa,185.89 mM
methane,water,300.00 K,30 MPa,178.79 mM

