solute_name,solvent_name,temperature,pressure,solubility
LiBr+LiCl,Water,284.25 K,Not found,0.61 w%
LiBr+LiCl,Water,291.25 K,Not found,0.64 w%
LiBr+LiCl,Water,298.15 K,Not found,0.66 w%
LiBr+LiCl,Water,301.25 K,Not found,0.68 w%
LiBr+LiCl,Water,308.35 K,Not found,0.70 w%
LiBr+LiCl,Water,312.95 K,Not found,0.71 w%
LiBr+LiCl,Water,318.15 K,Not found,0.72 w%
LiBr+LiCl,Water,323.25 K,Not found,0.73 w%
LiBr+LiCl,Water,328.45 K,Not found,0.73 w%
LiBr+LiCl,Water,333.55 K,Not found,0.75 w%
LiBr+LiCl,Water,337.25 K,Not found,0.76 w%
LiBr+NaHCO3,Water,288.15 K,Not found,0.42 w%
LiBr+NaHCO3,Water,294.45 K,Not found,0.43 w%
LiBr+NaHCO3,Water,301.35 K,Not found,0.46 w%
LiBr+NaHCO3,Water,303.35 K,Not found,0.48 w%
LiBr+NaHCO3,Water,305.15 K,Not found,0.49 w%
LiBr+NaHCO3,Water,309.45 K,Not found,0.50 w%
LiBr+NaHCO3,Water,312.65 K,Not found,0.52 w%
LiBr+NaHCO3,Water,317.35 K,Not found,0.53 w%
LiBr+NaHCO3,Water,321.95 K,Not found,0.55 w%
LiBr+NaHCO3,Water,323.85 K,Not found,0.56 w%
LiBr+NaHCO3,Water,325.45 K,Not found,0.56 w%
LiBr+NaHCO3,Water,328.95 K,Not found,0.58 w%

