solute_name,solvent_name,temperature,pressure,solubility
Water,C7F14,288.15 K,1 atm,2.10 ± 0.05 * 10^-4 mol%
Water,C7F14,293.15 K,1 atm,2.48 ± 0.06 * 10^-4 mol%
Water,C7F14,298.15 K,1 atm,3.00 ± 0.09 * 10^-4 mol%
Water,C7F14,303.15 K,1 atm,4.07 ± 0.07 * 10^-4 mol%
Water,C7F14,308.15 K,1 atm,4.64 ± 0.09 * 10^-4 mol%
Water,C7F14,313.15 K,1 atm,5.81 ± 0.07 * 10^-4 mol%
Water,C7F14,318.15 K,1 atm,6.84 ± 0.09 * 10^-4 mol%
Water,C10F18,288.15 K,1 atm,2.41 ± 0.08 * 10^-4 mol%
Water,C10F18,293.15 K,1 atm,3.04 ± 0.14 * 10^-4 mol%
Water,C10F18,298.15 K,1 atm,3.84 ± 0.17 * 10^-4 mol%
Water,C10F18,303.15 K,1 atm,4.58 ± 0.18 * 10^-4 mol%
Water,C10F18,308.15 K,1 atm,5.94 ± 0.06 * 10^-4 mol%
Water,C10F18,313.15 K,1 atm,7.27 ± 0.02 * 10^-4 mol%
Water,C10F18,318.15 K,1 atm,8.84 ± 0.02 * 10^-4 mol%
Water,C6F6,288.15 K,1 atm,1.28 ± 0.01 * 10^-4 mol%
Water,C6F6,293.15 K,1 atm,1.56 ± 0.01 * 10^-4 mol%
Water,C6F6,298.15 K,1 atm,1.92 ± 0.01 * 10^-4 mol%
Water,C6F6,303.15 K,1 atm,2.23 ± 0.02 * 10^-4 mol%
Water,C6F6,308.15 K,1 atm,2.73 ± 0.01 * 10^-4 mol%
Water,C6F6,313.15 K,1 atm,3.15 ± 0.07 * 10^-4 mol%
Water,C6F6,318.15 K,1 atm,3.84 ± 0.03 * 10^-4 mol%
Water,C7F8,288.15 K,1 atm,1.57 ± 0.01 * 10^-4 mol%
Water,C7F8,293.15 K,1 atm,1.86 ± 0.01 * 10^-4 mol%
Water,C7F8,298.15 K,1 atm,2.30 ± 0.01 * 10^-4 mol%
Water,C7F8,303.15 K,1 atm,2.72 ± 0.01 * 10^-4 mol%
Water,C7F8,308.15 K,1 atm,3.42 ± 0.05 * 10^-4 mol%
Water,C7F8,313.15 K,1 atm,4.06 ± 0.03 * 10^-4 mol%
Water,C7F8,318.15 K,1 atm,4.54 ± 0.04 * 10^-4 mol%
