solute_name,solvent_name,temperature,pressure,solubility
LBDOB,PC,25°C,Not found,0.274 mol dm−3
LBDOB,PC + DME,25°C,Not found,0.302 mol dm−3
LBDOB,EC + DME,25°C,Not found,0.201 mol dm−3
LBDOB,PC + THF,25°C,Not found,0.318 mol dm−3
LBDOB,EC + THF,25°C,Not found,0.360 mol dm−3
FLBDOB,PC,25°C,Not found,0.275 mol dm−3
FLBDOB,PC + DME,25°C,Not found,0.284 mol dm−3
FLBDOB,EC + DME,25°C,Not found,0.388 mol dm−3
FLBDOB,PC + THF,25°C,Not found,0.248 mol dm−3
FLBDOB,EC + THF,25°C,Not found,0.506 mol dm−3
4FLBDOB,PC,25°C,Not found,0.270 mol dm−3
4FLBDOB,PC + DME,25°C,Not found,0.342 mol dm−3
4FLBDOB,EC + DME,25°C,Not found,0.415 mol dm−3
4FLBDOB,PC + THF,25°C,Not found,0.345 mol dm−3
4FLBDOB,EC + THF,25°C,Not found,0.512 mol dm−3
LBOB,PC,25°C,Not found,0.362 mol dm−3
LBOB,PC + DME,25°C,Not found,0.349 mol dm−3
LBOB,EC + DME,25°C,Not found,0.352 mol dm−3
LBOB,PC + THF,25°C,Not found,0.358 mol dm−3
LBOB,EC + THF,25°C,Not found,0.362 mol dm−3
