solute_name,solvent_name,temperature,pressure,solubility
NLS-011,DMSO,Not found,Not found,Poor (<0.1 M)
NLS-012,DMSO,Not found,Not found,Fair (~0.3 M)
NLS-013,DMSO,Not found,Not found,Very good (> 1 M)
NLS-021,DMSO,Not found,Not found,Good (~0.5 M)
NLS-022,DMSO,Not found,Not found,Excellent (>4 M)
NLS-023,DMSO,Not found,Not found,Excellent (>4 M)
NLS-011,Sulfolane,Not found,Not found,Poor (<0.1 M)
NLS-012,Sulfolane,Not found,Not found,Poor (<0.1 M)
NLS-013,Sulfolane,Not found,Not found,Good (~0.5 M)
NLS-021,Sulfolane,Not found,Not found,Fair (~0.3 M)
NLS-022,Sulfolane,Not found,Not found,Very good (>1 M)
NLS-023,Sulfolane,Not found,Not found,Very good (>1 M)
NLS-011,1:1 EC/DMC,Not found,Not found,Insoluble
NLS-012,1:1 EC/DMC,Not found,Not found,Poor (<0.1 M)
NLS-013,1:1 EC/DMC,Not found,Not found,Poor (<0.1 M)
NLS-021,1:1 EC/DMC,Not found,Not found,Poor (<0.1 M)
NLS-022,1:1 EC/DMC,Not found,Not found,Fair (~0.3 M)
NLS-023,1:1 EC/DMC,Not found,Not found,Good (~0.5 M)
