solute_name,solvent_name,temperature,pressure,solubility
Glycine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0046 *10^-2  mol fraction
L-alanine,Ethanol(0.0891 mol%)-Water,298.15 K,0.1 MPa,1.3635 *10^-2  mol fraction
L-alanine,Ethanol(0.2068 mol%)-Water,298.15 K,0.1 MPa,0.7857 *10^-2  mol fraction
L-alanine,Ethanol(0.3697 mol%)-Water,298.15 K,0.1 MPa,0.4204 *10^-2  mol fraction
L-alanine,Ethanol(0.6100 mol%)-Water,298.15 K,0.1 MPa,0.1013 *10^-2  mol fraction
L-alanine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0282 *10^-2  mol fraction
L-arginine,Ethanol(0.0000 mol%)-Water,298.15 K,0.1 MPa,1.8614 *10^-2  mol fraction
L-arginine,Ethanol(0.1153 mol%)-Water,298.15 K,0.1 MPa,1.3238 *10^-2  mol fraction
L-arginine,Ethanol(0.2811 mol%)-Water,298.15 K,0.1 MPa,0.6303 *10^-2  mol fraction
L-arginine,Ethanol(0.5398 mol%)-Water,298.15 K,0.1 MPa,0.1292 *10^-2  mol fraction
L-arginine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0143 *10^-2  mol fraction
L-asparagine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0002 *10^-2  mol fraction
L-aspartic acid,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0002 *10^-2  mol fraction
L-cysteine,Ethanol(0.0000 mol%)-Water,298.15 K,0.1 MPa,1.2992 *10^-2  mol fraction
L-cysteine,Ethanol(0.1153 mol%)-Water,298.15 K,0.1 MPa,0.4652 *10^-2  mol fraction
L-cysteine,Ethanol(0.2811 mol%)-Water,298.15 K,0.1 MPa,0.2546 *10^-2  mol fraction
L-cysteine,Ethanol(0.5398 mol%)-Water,298.15 K,0.1 MPa,0.1318 *10^-2  mol fraction
L-cysteine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0113 *10^-2  mol fraction
L-glutamic acid,Ethanol(0.0000 mol%)-Water,298.15 K,0.1 MPa,0.1000 *10^-2  mol fraction
L-glutamic acid,Ethanol(0.0891 mol%)-Water,298.15 K,0.1 MPa,0.0434 *10^-2  mol fraction
L-glutamic acid,Ethanol(0.2068 mol%)-Water,298.15 K,0.1 MPa,0.0273 *10^-2  mol fraction
L-glutamic acid,Ethanol(0.3697 mol%)-Water,298.15 K,0.1 MPa,0.0225 *10^-2  mol fraction
L-glutamic acid,Ethanol(0.6100 mol%)-Water,298.15 K,0.1 MPa,0.0183 *10^-2  mol fraction
L-glutamic acid,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0009 *10^-2  mol fraction
L-glutamine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0001 *10^-2  mol fraction
L-histidine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0004 *10^-2  mol fraction
L-leucine,Ethanol(1.0000 mol%)-Water,298.15 K,0.1 MPa,0.0095 *10^-2  mol fraction
