solute_name,solvent_name,temperature,pressure,solubility
LiCl,Isoamyl Alcohol,25 °C,Not found,7.3 g/100ml
LiCl,n-Hexanol,25 °C,Not found,5.8 g/100ml
LiCl,2-Ethylhexan01,25 °C,Not found,3.0 g/100ml
NaCl,Isoamyl Alcohol,25 °C,Not found,0.0016 g/100ml
NaCl,n-Hexanol,25 °C,Not found,0.0008 g/100ml
NaCl,2-Ethylhexan01,25 °C,Not found,0.0001 g/100ml
KCI,Isoamyl Alcohol,25 °C,Not found,0.0006 g/100ml
KCI,n-Hexanol,25 °C,Not found,0.00004 g/100ml
KCI,2-Ethylhexan01,25 °C,Not found,<0.00001 g/100ml

