solute_name,solvent_name,temperature,pressure,solubility
Methane,Water,Not found,1 atm,24.4 ppm
Ethane,Water,Not found,1 atm,60.4 ppm
Propane,Water,Not found,1 atm,62.4 ppm
n-Butane,Water,Not found,1 atm,136.6 ppm
Isobutane,Water,Not found,1 atm,165 ppm
n-Pentane,Water,Not found,1 atm,38.5 ppm
Isopentane,Water,Not found,1 atm,47.8 ppm
"2,2-Dimethylpropane",Water,Not found,1 atm,54 ppm
n-Hexane,Water,Not found,1 atm,9.5 ppm
2-Methylpentane,Water,Not found,1 atm,13.8 ppm
3-Methylpentane,Water,Not found,1 atm,12.8 ppm
"2,2-Dimethylbutane",Water,Not found,1 atm,18.4 ppm
n-Heptane,Water,Not found,1 atm,2.93 ppm
"2,4-Dimethylpentane",Water,Not found,1 atm,4.06 ppm
n-Octane,Water,Not found,1 atm,900 ppm
"2,2,4-Trimethylpentane",Water,Not found,1 atm,2.44 ppm
"2,2,5-Trimethylhexane",Water,Not found,1 atm,1.15 ppm
Ethene,Water,Not found,1 atm,131 ppm
Propene,Water,Not found,1 atm,204 ppm
1-Butene,Water,Not found,1 atm,615 ppm
2-Methylpropene,Water,Not found,1 atm,670 ppm
1-Pentene,Water,Not found,1 atm,1487 ppm
2-Pentene,Water,Not found,1 atm,2038 ppm
3-Methyl-1-butene,Water,Not found,1 atm,1561 ppm
1-Hexene,Water,Not found,1 atm,501 ppm
2-Methyl-1-pentene,Water,Not found,1 atm,783 ppm
4-Methyl-1-pentene,Water,Not found,1 atm,482 ppm
2-Heptene,Water,Not found,1 atm,151 ppm
1-Octene,Water,Not found,1 atm,2.7 ppm
"1,3-Butadiene",Water,Not found,1 atm,1980 ppm
"2-Methyl-1,3-butadiene",Water,Not found,1 atm,642 ppm
"1,4-Pentadiene",Water,Not found,1 atm,558 ppm
"1,5-Hexadiene",Water,Not found,1 atm,169 ppm
"1,6-Heptadiene",Water,Not found,1 atm,44 ppm
Acetylenes,Water,Not found,1 atm,3640 ppm
1-Butyne,Water,Not found,1 atm,2870 ppm
1-Pentyne,Water,Not found,1 atm,1570 ppm
1-Hexyne,Water,Not found,1 atm,360 ppm
1-Heptyne,Water,Not found,1 atm,94 ppm
1-Octyne,Water,Not found,1 atm,24 ppm
1-Nonyne,Water,Not found,1 atm,7.2 ppm
"1,6-Heptadiyne",Water,Not found,1 atm,1650 ppm
"1,8-Nonadiyne",Water,Not found,1 atm,125 ppm
Cyclopentane,Water,Not found,1 atm,1569 ppm
Cyclohexane,Water,Not found,1 atm,55 ppm
Cycloheptane,Water,Not found,1 atm,30 ppm
Cyclooctane,Water,Not found,1 atm,7.9 ppm
Methylcyclopentane,Water,Not found,1 atm,42 ppm
Methylcyclohexane,Water,Not found,1 atm,14 ppm
1-cis-2-Dimethylcyclohexane,Water,Not found,1 atm,6 ppm
Cyclopentene,Water,Not found,1 atm,535 ppm
Cyclohexene,Water,Not found,1 atm,213 ppm
Cycloheptene,Water,Not found,1 atm,66 ppm
1-Methylcyclohexene,Water,Not found,1 atm,52 ppm
"1,4-Cyclohexadiene",Water,Not found,1 atm,700 ppm
4-Vinyleyclohexene,Water,Not found,1 atm,50 ppm
Cycloheptatriene,Water,Not found,1 atm,62 ppm
Berzene,Water,Not found,1 atm,178 ppm
Toluene,Water,Not found,1 atm,515 ppm
o-Xylene,Water,Not found,1 atm,175 ppm
Ethylbenzene,Water,Not found,1 atm,152 ppm
"1,2,4-Trimethylbenzene",Water,Not found,1 atm,57 ppm
Isopropylbenzene,Water,Not found,1 atm,50 ppm
