solute_name,solvent_name,temperature,pressure,solubility,
Silver Chlorate,water,5 °C,Not found,0.8017 mol/100 mol
Silver Chlorate,D2O(w% = 98.38)/H2O,5 °C,Not found,0.6532 mol/100 mol
Silver Chlorate,water,15 °C,Not found,1.1481 mol/100 mol
Silver Chlorate,D2O(w% = 98.38)/H2O,15 °C,Not found,0.9507 mol/100 mol
Silver Chlorate,water,25 °C,Not found,1.6040 mol/100 mol
Silver Chlorate,D2O(w% = 98.38)/H2O,25 °C,Not found,1.3578 mol/100 mol
Silver Chlorate,water,35 °C,Not found,2.2353 mol/100 mol
Silver Chlorate,D2O(w% = 98.18)/H2O,35 °C,Not found,1.9076 mol/100 mol
Thallous Perchlorate,water,5 °C,Not found,0.3978 mol/100 mol
Thallous Perchlorate,D2O(w% = 99.7)/H2O,5 °C,Not found,0.304 mol/100 mol
Thallous Perchlorate,water,15 °C,Not found,0.615 mol/100 mol
Thallous Perchlorate,D2O(w% = 99.7)/H2O,15 °C,Not found,0.488 mol/100 mol
Thallous Perchlorate,water,25 °C,Not found,0.921 mol/100 mol
Thallous Perchlorate,D2O(w% = 91.6)/H2O,25 °C,Not found,0.763 mol/100 mol
Thallous Perchlorate,water,35 °C,Not found,1.337 mol/100 mol
Thallous Perchlorate,D2O(w% = 91.6)/H2O,35 °C,Not found,1.129 mol/100 mol
Potassium Permanganate,water,5 °C,Not found,0.4002 mol/100 mol
Potassium Permanganate,D2O(w% = 91.59)/H2O,5 °C,Not found,0.302 mol/100 mol
Potassium Permanganate,water,15 °C,Not found,0.600 mol/100 mol
Potassium Permanganate,D2O(w% = 91.86)/H2O,15 °C,Not found,0.471 mol/100 mol
Potassium Permanganate,water,25 °C,Not found,0.8696 mol/100 mol
Potassium Permanganate,D2O(w% = 91.86)/H2O,25 °C,Not found,0.700 mol/100 mol
Potassium Permanganate,water,35 °C,Not found,0.1224 mol/100 mol
Potassium Permanganate,D2O(w% = 91.86)/H2O,35 °C,Not found,0.101 mol/100 mol
Thallous Sulfate,water,5 °C,Not found,0.328 mol/100 mol
Thallous Sulfate,D2O(w% = 92.36)/H2O,5 °C,Not found,0.2632 mol/100 mol
Thallous Sulfate,water,15 °C,Not found,0.517 mol/100 mol
Thallous Sulfate,D2O(w% = 92.36)/H2O,15 °C,Not found,0.4146 mol/100 mol
Thallous Sulfate,water,25 °C,Not found,0.792 mol/100 mol
Thallous Sulfate,D2O(w% = 92.36)/H2O,25 °C,Not found,0.6385 mol/100 mol
Thallous Sulfate,water,28.37 °C,Not found,0.905 mol/100 mol
Thallous Sulfate,D2O(w% = 90.86)/H2O,28.37 °C,Not found,0.739 mol/100 mol
Thallous Sulfate,water,30.11 °C,Not found,0.970 mol/100 mol
Thallous Sulfate,D2O(w% = 90.86)/H2O,30.11 °C,Not found,0.793 mol/100 mol 
Thallous Sulfate,water,35 °C,Not found,1.175 mol/100 mol
Thallous Sulfate,D2O(w% = 91.59)/H2O,35 °C,Not found,0.9612 mol/100 mol
Potassium Dichromate,water,5 °C,Not found,0.3645 mol/100 mol
Potassium Dichromate,D2O(w% = 91.83)/H2O,5 °C,Not found,0.2525 mol/100 mol
Potassium Dichromate,water,15 °C,Not found,0.5977 mol/100 mol
Potassium Dichromate,D2O(w% = 91.56)/H2O,15 °C,Not found,0.4286 mol/100 mol
Potassium Dichromate,water,25 °C,Not found,0.9136 mol/100 mol
Potassium Dichromate,D2O(w% = 91.83)/H2O,25 °C,Not found,0.6903 mol/100 mol
Potassium Dichromate,water,25 °C,Not found,0.9136 mol/100 mol
Potassium Dichromate,D2O(w% = 98.0)/H2O,25 °C,Not found,0.6781 mol/100 mol
Potassium Dichromate,water,35 °C,Not found,1.3252 mol/100 mol
Potassium Dichromate,D2O(w% = 91.83)/H2O,35 °C,Not found,1.0454 mol/100 mol


