solute_name,solvent_name,temperature,pressure,solubility,
Ethylbenzene,Water,298 K,50 bars,2.8 ± 0.2 x10^-5 mol%
Ethylbenzene,Water,323 K,50 bars,4.1 ± 0.8 x10^-5 mol%
Ethylbenzene,Water,373 K,50 bars,9.2 ± 0.6 x10^-5 mol%
Ethylbenzene,Water,423 K,50 bars,24 ± 2 x10^-5 mol%
Ethylbenzene,Water,473 K,50 bars,81 ± 10 x10^-5 mol%
m-Xylene,Water,298 K,50 bars,3.7 ± 0.2 x10^-5 mol%
m-Xylene,Water,373 K,50 bars,8.0 ± 0.9 x10^-5 mol%
m-Xylene,Water,423 K,50 bars,27 ± 1 x10^-5  mol%
m-Xylene,Water,473 K,50 bars,102 ± 9 x10^-5 mol%
Benzene,Water,298 K,50 bars,4.2 ± 0.3 x10^-5 mol%
Benzene,Water,373 K,50 bars,8.1 ± 0.9 x10^-5 mol%
Benzene,Water,423 K,50 bars,17 ± 2 x10^-5 mol%
Benzene,Water,473 K,50 bars,46 ± 4 x10^-5 mol%
Toluene,Water,298 K,50 bars,1.0 x10^-5 mol%
Toluene,Water,373 K,50 bars,3.1 ± 0.09 x10^-5 mol%
Toluene,Water,423 K,50 bars,8.7 ± 0.26 x10^-5 mol%
Toluene,Water,473 K,50 bars,25 ± 5 x10^-5 mol%
p-Cymene,Water,298 K,65 bars,3.0 ± 0.2 x10^-5 mol%
p-Cymene,Water,323 K,65 bars,4.0 ± 0.4 x10^-5 mol%
p-Cymene,Water,373 K,65 bars,11 ± 1 x10^-5 mol%
p-Cymene,Water,423 K,65 bars,43 ± 2 x10^-5 mol%
p-Cymene,Water,473 K,65 bars,200 ± 20 x10^-5 mol%
Octane,Water,298 K,65 bars,1.4 ± 0.2 x10^-5 mol%
Octane,Water,323 K,65 bars,2.0 ± 0.4 x10^-5 mol%
Octane,Water,373 K,65 bars,7.2 ± 0.2 x10^-5 mol%    
Octane,Water,423 K,65 bars,44 ± 2 x10^-5 mol%
Octane,Water,473 K,65 bars,290 ± 10 x10^-5 mol%1/
"2,2,4-Trimethylpentane",Water,298 K,65 bars,4.4 ± 0.5 x10^-5 mol%
"2,2,4-Trimethylpentane",Water,323 K,65 bars,5.2 ± 0.4 x10^-5 mol%
"2,2,4-Trimethylpentane",Water,373 K,65 bars,20 ± 1 x10^-5 mol%
"2,2,4-Trimethylpentane",Water,423 K,65 bars,100 ± 3 x10^-5 mol%
"2,2,4-Trimethylpentane",Water,473 K,65 bars,610 ± 30 x10^-5 mol%
Tetrachloroethylene,Water,298 K,65 bars,2.3 ± 0.2 x10^-5 mol%
Tetrachloroethylene,Water,323 K,65 bars,2.7 ± 0.2 x10^-5 mol%
Tetrachloroethylene,Water,373 K,65 bars,5.9 ± 0.4 x10^-5 mol%
Tetrachloroethylene,Water,423 K,65 bars,18 ± 1 x10^-5 mol%
Tetrachloroethylene,Water,473 K,65 bars,59 ± 4 x10^-5 mol%
Tetraethyl Tin,Water,298 K,65 bars,3.4 ± 0.2 x10^-5 mol%
Tetraethyl Tin,Water,323 K,65 bars,5.4 ± 0.3 x10^-5 mol%
Tetraethyl Tin,Water,373 K,65 bars,14 ± 2 x10^-5 mol%
Tetraethyl Tin,Water,423 K,65 bars,110 ± 4 x10^-5 mol%
Tetraethyl Tin,Water,473 K,65 bars,880 ± 60 x10^-5 mol%
"1,2-Dichlorobenzene",Water,298 K,65 bars,1.7 ± 0.1 x10^-5 mol%
"1,2-Dichlorobenzene",Water,323 K,65 bars,2.3 ± 0.1 x10^-5 mol%
"1,2-Dichlorobenzene",Water,373 K,65 bars,5.5 ± 0.2 x10^-5 mol%
"1,2-Dichlorobenzene",Water,423 K,65 bars,18 ± 1 x10^-5 mol%
"1,2-Dichlorobenzene",Water,473 K,65 bars,57 ± 3 x10^-5 mol%
