solute_name,solvent_name,temperature,pressure,solubility
NaCl,Water,298.15 K,Not found,26.483 w%
NaCl,Water,303.15 K,Not found,26.550 w%
NaCl,Water,313.15 K,Not found,26.701 w%
NaCl,Water,323.15 K,Not found,26.889 w%
NaCl,Water,333.15 K,Not found,27.106 w%
NaCl,Water,343.15 K,Not found,27.338 w%
NaCl,Water,348.15 K,Not found,27.478 w%
NaCl,Water,353.15 K,Not found,27.602 w%
NaBr,Water,298.15 K,Not found,48.620 w%
NaBr,Water,303.15 K,Not found,49.583 w%
NaBr,Water,313.15 K,Not found,51.571 w%
NaBr,Water,318.15 K,Not found,52.673 w%
NaBr,Water,323.15 K,Not found,53.838 w%
NaBr,Water,328.15 K,Not found,54.015 w%
NaBr,Water,333.15 K,Not found,54.087 w%
NaBr,Water,343.15 K,Not found,54.281 w%
NaBr,Water,348.15 K,Not found,54.369 w%
KCl,Water,353.15 K,Not found,54.495 w%
KCl,Water,298.15 K,Not found,26.476 w%
KCl,Water,303.15 K,Not found,27.257 w%
KCl,Water,313.15 K,Not found,28.728 w%
KCl,Water,323.15 K,Not found,30.094 w%
KCl,Water,333.15 K,Not found,31.366 w%
KCl,Water,343.15 K,Not found,32.582 w%
KCl,Water,348.15 K,Not found,33.146 w%
KCl,Water,353.15 K,Not found,33.709 w%
NaCl,Methanol,298.15 K,Not found,1.375 w%
NaCl,Methanol,303.15 K,Not found,1.360 w%
NaCl,Methanol,313.15 K,Not found,1.310 w%
NaCl,Methanol,323.15 K,Not found,1.235 w%
NaCl,Methanol,333.15 K,Not found,1.220 w%
NaCl,Ethanol,298.15 K,Not found,0.055 w%
NaCl,Ethanol,323.15 K,Not found,0.065 w%
NaCl,Ethanol,348.15 K,Not found,0.077 w%
NaBr,Methanol,298.15 K,Not found,14.938 w%
NaBr,Methanol,303.15 K,Not found,14.754 w%
NaBr,Methanol,313.15 K,Not found,14.461 w%
NaBr,Methanol,323.15 K,Not found,14.196 w%
NaBr,Methanol,333.15 K,Not found,13.941 w%
NaBr,Ethanol,298.15 K,Not found,2.496 w%
NaBr,Ethanol,323.15 K,Not found,2.416 w%
NaBr,Ethanol,348.15 K,Not found,2.297 w%
KCl,Methanol,298.15 K,Not found,0.539 w%
KCl,Methanol,303.15 K,Not found,0.554 w%
KCl,Methanol,313.15 K,Not found,0.593 w%
KCl,Methanol,323.15 K,Not found,0.630 w%
KCl,Methanol,333.15 K,Not found,0.670 w%
KCl,Ethanol,298.15 K,Not found,0.034 w%
KCl,Ethanol,323.15 K,Not found,0.039 w%
KCl,Ethanol,348.15 K,Not found,0.049 w%
