solute_name,solvent_name,temperature,pressure,solubility
Methane,Methyldiethanolamine,298.15 K,20.3 MPa,74.35 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,19.46 MPa,74.77 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,19.04 MPa,79.71 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,18.6 MPa,83.77 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,17.65 MPa,85.92 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,16.06 MPa,65.28 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,16 MPa,67.54 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,13.82 MPa,63.09 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,14.93 MPa,71.81 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,14.29 MPa,73.85 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,12 MPa,54.26 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,11.72 MPa,54.74 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,9.44 MPa,46.73 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,10.49 MPa,53.51 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,10.25 MPa,54.16 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,7.19 MPa,36.4 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,7.08 MPa,35.59 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,6.75 MPa,34.9 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,7.4 MPa,39.68 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,6.35 MPa,35.28 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,5.25 MPa,27.85 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,5.1 MPa,27.64 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,5.39 MPa,27.98 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,4.39 MPa,24.56 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,4.71 MPa,27.71 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,3.26 MPa,18.69 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,3.5 MPa,19.99 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,3.41 MPa,19.01 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,2.64 MPa,15.35 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,2.78 MPa,16.62 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,1.72 MPa,10.39 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,1.574 MPa,9.210 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,1.61 MPa,9.197 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,0.940 MPa,5.497 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,0.534 MPa,3.275 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,0.631 MPa,3.879 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,0.484 MPa,2.997 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,0.800 MPa,4.716 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,0.770 MPa,4.623 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,403.15 K,0.190 MPa,1.179 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,0.175 MPa,1.089 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,313.15 K,0.126 MPa,0.7674 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,0.246 MPa,1.446 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,0.230 MPa,1.356 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,298.15 K,0.118 MPa,0.7348 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,343.15 K,0.100 MPa,0.5882 * 10^-3 mol dm−3
Methane,Methyldiethanolamine,373.15 K,0.147 MPa,0.8719 * 10^-3 mol dm−3


