solute_name,solvent_name,temperature,pressure,solubility
Water,Octan-1-ol,275.56 K,Not found,48.32 mg/g
Water,Octan-1-ol,277.31 K,Not found,48.35 mg/g
Water,Octan-1-ol,283.55 K,Not found,48.36 mg/g
Water,Octan-1-ol,287.78 K,Not found,48.40 mg/g
Water,Octan-1-ol,293.15 K,Not found,48.67 mg/g
Water,Octan-1-ol,293.47 K,Not found,48.56 mg/g
Water,Octan-1-ol,295.67 K,Not found,48.71 mg/g
Water,Octan-1-ol,298.13 K,Not found,48.79 mg/g
Water,Octan-1-ol,298.28 K,Not found,48.88 mg/g
Water,Octan-1-ol,299.99 K,Not found,49.36 mg/g
Water,Octan-1-ol,303.06 K,Not found,49.12 mg/g
Water,Octan-1-ol,304.23 K,Not found,49.31 mg/g
Water,Octan-1-ol,306.05 K,Not found,49.55 mg/g
Water,Octan-1-ol,308.81 K,Not found,50.18 mg/g
Water,Octan-1-ol,315.89 K,Not found,51.51 mg/g
Water,Octan-1-ol,320.48 K,Not found,51.96 mg/g
Water,Octan-1-ol,324.81 K,Not found,52.77 mg/g
Water,Octan-1-ol,329.81 K,Not found,53.95 mg/g
Water,Octan-1-ol,335.5 K,Not found,55.0 mg/g
Water,Octan-1-ol,355.6 K,Not found,59.9 mg/g
Water,Octan-1-ol,369.72 K,Not found,63.6 mg/g
