solute_name,solvent_name,temperature,pressure,solubility
sodium tetraborate decahydrate,lithium chloride 0 g/100 g water,20.74 °C,Not found,4.97 ± 0.01 g/100 g
sodium tetraborate decahydrate,lithium chloride 0 g/100 g water,25.63 °C,Not found,6.21 ± 0.03 g/100 g
sodium tetraborate decahydrate,lithium chloride 0 g/100 g water,30.63 °C,Not found,7.78 ± 0.04 g/100 g
sodium tetraborate decahydrate,lithium chloride 0 g/100 g water,34.63 °C,Not found,9.59 ± 0.05 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.12 ± 0.004 g/100 g water,20.74 °C,Not found,5.07 ± 0.03 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.12 ± 0.004 g/100 g water,25.63 °C,Not found,6.34 ± 0.04 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.12 ± 0.004 g/100 g water,30.63 °C,Not found,7.99 ± 0.04 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.12 ± 0.004 g/100 g water,34.63 °C,Not found,9.66 ± 0.05 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.30 ± 0.01 g/100 g water,20.74 °C,Not found,5.16 ± 0.04 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.30 ± 0.01 g/100 g water,25.63 °C,Not found,6.43 ± 0.04 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.30 ± 0.01 g/100 g water,30.63 °C,Not found,8.14 ± 0.05 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.30 ± 0.01 g/100 g water,34.63 °C,Not found,9.79 ± 0.06 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.60 ± 0.03 g/100 g water,20.74 °C,Not found,5.29 ± 0.03 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.60 ± 0.03 g/100 g water,25.63 °C,Not found,6.56 ± 0.04 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.60 ± 0.03 g/100 g water,30.63 °C,Not found,8.36 ± 0.05 g/100 g
sodium tetraborate decahydrate,lithium chloride 0.60 ± 0.03 g/100 g water,34.63 °C,Not found,9.98 ± 0.06 g/100 g
sodium tetraborate decahydrate,lithium chloride 1.18 ± 0.04 g/100 g water,20.74 °C,Not found,5.51 ± 0.03 g/100 g
sodium tetraborate decahydrate,lithium chloride 1.18 ± 0.04 g/100 g water,25.63 °C,Not found,6.86 ± 0.05 g/100 g
sodium tetraborate decahydrate,lithium chloride 1.18 ± 0.04 g/100 g water,30.63 °C,Not found,8.61 ± 0.06 g/100 g
sodium tetraborate decahydrate,lithium chloride 1.18 ± 0.04 g/100 g water,34.63 °C,Not found,10.39 ± 0.06 g/100 g
