solute_name,solvent_name,temperature,pressure,solubility
Methane,Propylene Carbonate,244.26 K,10342 kPa,49.3 x10^-3
Methane,Propylene Carbonate,244.26 K,6895 kPa,37.0 x10^-3
Methane,Propylene Carbonate,244.26 K,3447 kPa,21.9 x10^-3
Methane,Propylene Carbonate,248.15 K,10350 kPa,49.5 x10^-3
Methane,Propylene Carbonate,248.15 K,7600 kPa,40.0 x10^-3
Methane,Propylene Carbonate,248.15 K,4800 kPa,27.2 x10^-3
Methane,Propylene Carbonate,248.15 K,3450 kPa,22.3 x10^-3
Methane,Propylene Carbonate,248.15 K,2320 kPa,15.0 x10^-3
Methane,Propylene Carbonate,248.15 K,1880 kPa,12.2 x10^-3
Methane,Propylene Carbonate,248.15 K,940 kPa,6.9 x10^-3
Methane,Propylene Carbonate,248.15 K,330 kPa,2.9 x10^-3
Methane,Propylene Carbonate,248.15 K,120 kPa,0.9 x10^-3
Methane,Propylene Carbonate,255.37 K,10342 kPa,49.9 x10^-3
Methane,Propylene Carbonate,255.37 K,6895 kPa,37.4 x10^-3
Methane,Propylene Carbonate,255.37 K,3447 kPa,21.5 x10^-3
Methane,Propylene Carbonate,266.48 K,10342 kPa,51.6 x10^-3
Methane,Propylene Carbonate,266.48 K,8000 kPa,41.1 x10^-3
Methane,Propylene Carbonate,266.48 K,6895 kPa,37.5 x10^-3
Methane,Propylene Carbonate,266.48 K,5450 kPa,31.5 x10^-3
Methane,Propylene Carbonate,266.48 K,3970 kPa,23.9 x10^-3
Methane,Propylene Carbonate,266.48 K,2540 kPa,16.7 x10^-3
Methane,Propylene Carbonate,273.15 K,11000 kPa,50.2 x10^-3
Methane,Propylene Carbonate,273.15 K,8000 kPa,41.3 x10^-3
Methane,Propylene Carbonate,273.15 K,5100 kPa,29.1 x10^-3
Methane,Propylene Carbonate,273.15 K,2400 kPa,15.1 x10^-3
Methane,Propylene Carbonate,273.15 K,1010 kPa,7.3 x10^-3
Methane,Propylene Carbonate,273.15 K,707 kPa,5.1 x10^-3
Methane,Propylene Carbonate,273.15 K,305 kPa,2.3 x10^-3
Methane,Propylene Carbonate,273.15 K,120 kPa,0.95 x10^-3
Methane,Propylene Carbonate,298.15 K,10500 kPa,52.0 x10^-3
Methane,Propylene Carbonate,298.15 K,10342 kPa,51.8 x10^-3
Methane,Propylene Carbonate,298.15 K,7700 kPa,40.0 x10^-3
Methane,Propylene Carbonate,298.15 K,6895 kPa,41.9 x10^-3
Methane,Propylene Carbonate,298.15 K,2500 kPa,15.1 x10^-3
Methane,Propylene Carbonate,298.15 K,600 kPa,4.3 x10^-3
Methane,Propylene Carbonate,298.15 K,300 kPa,2.3 x10^-3
Methane,Propylene Carbonate,298.15 K,105 kPa,0.93 x10^-3
Methane,Propylene Carbonate,333.15 K,10600 kPa,54.8 x10^-3
Methane,Propylene Carbonate,333.15 K,7960 kPa,43.2 x10^-3
Methane,Propylene Carbonate,333.15 K,5600 kPa,31.8 x10^-3
Methane,Propylene Carbonate,333.15 K,2400 kPa,14.8 x10^-3
Methane,Propylene Carbonate,333.15 K,900 kPa,6.4 x10^-3
Methane,Propylene Carbonate,333.15 K,400 kPa,3.0 x10^-3
Methane,Propylene Carbonate,333.15 K,200 kPa,1.6 x10^-3
Methane,Propylene Carbonate,333.15 K,102 kPa,0.87 x10^-3
Methane,Propylene Carbonate,373.15 K,11200 kPa,59.8 x10^-3
Methane,Propylene Carbonate,373.15 K,7700 kPa,43.8 x10^-3
Methane,Propylene Carbonate,373.15 K,6110 kPa,36.0 x10^-3
Methane,Propylene Carbonate,373.15 K,4170 kPa,25.2 x10^-3
Methane,Propylene Carbonate,373.15 K,1850 kPa,11.9 x10^-3
Methane,Propylene Carbonate,373.15 K,1850 kPa,11.8 x10^-3
Methane,Propylene Carbonate,373.15 K,920 kPa,7.0 x10^-3
Methane,Propylene Carbonate,373.15 K,300 kPa,2.46 x10^-3
Methane,Propylene Carbonate,373.15 K,207 kPa,1.7 x10^-3
Methane,Propylene Carbonate,373.15 K,101 kPa,0.84 x10^-3
