solute_name,solvent_name,temperature,pressure,solubility
Li2CO3,H2O,0 °C,Not found,3.819 * 10^-3 mol%
Li2CO3,H2O,0 °C,Not found,3.74 * 10^-3 mol%
Li2CO3,H2O,10 °C,Not found,3.417 * 10^-3 mol%
Li2CO3,H2O,15 °C,Not found,3.65 * 10^-3 mol%
Li2CO3,H2O,15 °C,Not found,3.485 * 10^-3 mol%
Li2CO3,H2O,20 °C,Not found,3.19 * 10^-3 mol%
Li2CO3,H2O,25 °C,Not found,3.045 * 10^-3 mol%
Li2CO3,H2O,30 °C,Not found,3.231 * 10^-3 mol%
Li2CO3,H2O,50 °C,Not found,2.869 * 10^-3 mol%
Li2CO3,H2O,75 °C,Not found,2.104 * 10^-3 mol%
Li2CO3,H2O,75 °C,Not found,2.04 * 10^-3 mol%
Li2CO3,H2O,90 °C,Not found,2.205 * 10^-3 mol%
Li2CO3,H2O,95 °C,Not found,1.77 * 10^-3 mol%
Li2CO3,H2O,100 °C,Not found,1.768 * 10^-3 mol%
Li2CO3,H2O,100 °C,Not found,1.76 * 10^-3 mol%
Li2CO3,H2O,100 °C,Not found,1.74 * 10^-3 mol%
Li2CO3,H2O,102 °C,Not found,1.89 * 10^-3 mol%
Li2CO3,H2O,111 °C,Not found,1.42 * 10^-3 mol%
Li2CO3,H2O,144 °C,Not found,0.908 * 10^-3 mol%
Li2CO3,H2O,150 °C,Not found,1.027 * 10^-3 mol%
Li2CO3,H2O,177 °C,Not found,0.71 * 10^-3 mol%
Li2CO3,H2O,200 °C,Not found,0.6474 * 10^-3 mol%
Li2CO3,H2O,220 °C,Not found,0.724 * 10^-3 mol%
Li2CO3,H2O,250 °C,Not found,0.5253 * 10^-3 mol%
Li2CO3,H2O,293 °C,Not found,0.51 * 10^-3 mol%
Li2CO3,H2O,300 °C,Not found,0.3662 * 10^-3 mol%
Li2CO3,H2O,302 °C,Not found,0.37 * 10^-3 mol%
