solute_name,solvent_name,temperature,pressure,solubility
D-Glucose,Water,10 oC,Not found,40.4 g/100g solution
D-Glucose,Water,20 oC,Not found,47.8 g/100g solution
D-Glucose,Water,30 oC,Not found,53.4 g/100g solution
D-Glucose,Water,40 oC,Not found,60.3 g/100g solution
D-Glucose,Water,50 oC,Not found,67.2 g/100g solution
D-Glucose,Water,60 oC,Not found,74.1 g/100g solution
D-Glucose,Ethanol/Water (50/50),10 oC,Not found,8.2 g/100g solution
D-Glucose,Ethanol/Water (50/50),20 oC,Not found,13.7 g/100g solution
D-Glucose,Ethanol/Water (50/50),30 oC,Not found,23.4 g/100g solution
D-Glucose,Ethanol/Water (50/50),40 oC,Not found,35.1 g/100g solution
D-Glucose,Ethanol/Water (50/50),50 oC,Not found,48.5 g/100g solution
D-Glucose,Ethanol/Water (50/50),60 oC,Not found,62.6 g/100g solution
D-Glucose,Ethanol/Water (60/40),10 oC,Not found,5.2 g/100g solution
D-Glucose,Ethanol/Water (60/40),20 oC,Not found,10.8 g/100g solution
D-Glucose,Ethanol/Water (60/40),30 oC,Not found,18.6 g/100g solution
D-Glucose,Ethanol/Water (60/40),40 oC,Not found,29.5 g/100g solution
D-Glucose,Ethanol/Water (60/40),50 oC,Not found,41.3 g/100g solution
D-Glucose,Ethanol/Water (60/40),60 oC,Not found,54.0 g/100g solution
D-Glucose,Ethanol/Water (70/30),10 oC,Not found,3.3 g/100g solution
D-Glucose,Ethanol/Water (70/30),20 oC,Not found,7.8 g/100g solution
D-Glucose,Ethanol/Water (70/30),30 oC,Not found,13.6 g/100g solution
D-Glucose,Ethanol/Water (70/30),40 oC,Not found,22.2 g/100g solution
D-Glucose,Ethanol/Water (70/30),50 oC,Not found,30.6 g/100g solution
D-Glucose,Ethanol/Water (70/30),60 oC,Not found,42.6 g/100g solution
D-Glucose,Ethanol/Water (80/20),10 oC,Not found,Not found
D-Glucose,Ethanol/Water (80/20),20 oC,Not found,4.2 g/100g solution
D-Glucose,Ethanol/Water (80/20),30 oC,Not found,10.7 g/100g solution
D-Glucose,Ethanol/Water (80/20),40 oC,Not found,17.4 g/100g solution
D-Glucose,Ethanol/Water (80/20),50 oC,Not found,26.2 g/100g solution
D-Glucose,Ethanol/Water (80/20),60 oC,Not found,36.2 g/100g solution
