solute_name,solvent_name,temperature,pressure,solubility
Gallic Acid,Methanol,298.2 K,Not found,27.93 wt%
Gallic Acid,Methanol,303.2 K,Not found,28.83 wt%
Gallic Acid,Methanol,308.2 K,Not found,29.30 wt%
Gallic Acid,Methanol,313.2 K,Not found,29.59 wt%
Gallic Acid,Methanol,318.2 K,Not found,30.13 wt%
Gallic Acid,Methanol,323.2 K,Not found,30.48 wt%
Gallic Acid,Methanol,328.2 K,Not found,31.07 wt%
Gallic Acid,Methanol,333.2 K,Not found,31.74 wt%
Gallic Acid,Ethanol,298.2 K,Not found,18.90 wt%
Gallic Acid,Ethanol,303.2 K,Not found,18.94 wt%
Gallic Acid,Ethanol,308.2 K,Not found,19.00 wt%
Gallic Acid,Ethanol,313.2 K,Not found,19.17 wt%
Gallic Acid,Ethanol,318.2 K,Not found,19.55 wt%
Gallic Acid,Ethanol,323.2 K,Not found,20.02 wt%
Gallic Acid,Ethanol,328.2 K,Not found,20.45 wt%
Gallic Acid,Ethanol,333.2 K,Not found,20.93 wt%
Gallic Acid,Water,298.2 K,Not found,1.516 wt%
Gallic Acid,Water,303.2 K,Not found,1.615 wt%
Gallic Acid,Water,308.2 K,Not found,2.367 wt%
Gallic Acid,Water,313.2 K,Not found,2.540 wt%
Gallic Acid,Water,318.2 K,Not found,3.429 wt%
Gallic Acid,Water,323.2 K,Not found,3.820 wt%
Gallic Acid,Water,328.2 K,Not found,4.787 wt%
Gallic Acid,Water,333.2 K,Not found,7.378 wt%
Gallic Acid,Ethyl Acetate,298.2 K,Not found,1.276 wt%
Gallic Acid,Ethyl Acetate,303.2 K,Not found,1.290 wt%
Gallic Acid,Ethyl Acetate,308.2 K,Not found,1.303 wt%
Gallic Acid,Ethyl Acetate,313.2 K,Not found,1.335 wt%
Gallic Acid,Ethyl Acetate,318.2 K,Not found,1.438 wt%
Gallic Acid,Ethyl Acetate,323.2 K,Not found,1.544 wt%
Gallic Acid,Ethyl Acetate,328.2 K,Not found,1.598 wt%
Gallic Acid,Ethyl Acetate,333.2 K,Not found,1.689 wt%
