solute_name,solvent_name,temperature,pressure,solubility
Vitamin E,Ethanol + Water,33 °C,Not found,20.9 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,30.8 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,103 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,272 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,384 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,548 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,736 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,1290 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,2280 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,4690 10^-6 w%
Vitamin E,Ethanol + Water,33 °C,Not found,9460 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,151 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,262 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,550 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,1250 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,2950 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,6630 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,10620 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,15450 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,26180 10^-6 w%
Vitamin K,Ethanol + Water,33 °C,Not found,28490 10^-6 w%
