solute_name,solvent_name,temperature,pressure,solubility
Water,[C4py][NTf2],288.15 K,1 atm,0.221 mol fraction
Water,[C4py][NTf2],293.15 K,1 atm,0.238 mol fraction
Water,[C4py][NTf2],298.15 K,1 atm,0.252 mol fraction
Water,[C4py][NTf2],303.15 K,1 atm,0.269 mol fraction
Water,[C4py][NTf2],308.15 K,1 atm,0.291 mol fraction
Water,[C4py][NTf2],313.15 K,1 atm,0.309 mol fraction
Water,[C4py][NTf2],318.15 K,1 atm,0.327 mol fraction
Water,[C6py][NTf2],288.15 K,1 atm,0.204 mol fraction
Water,[C6py][NTf2],293.15 K,1 atm,0.216 mol fraction
Water,[C6py][NTf2],298.15 K,1 atm,0.225 mol fraction
Water,[C6py][NTf2],303.15 K,1 atm,0.246 mol fraction
Water,[C6py][NTf2],308.15 K,1 atm,0.260 mol fraction
Water,[C6py][NTf2],313.15 K,1 atm,0.277 mol fraction
Water,[C6py][NTf2],318.15 K,1 atm,0.294 mol fraction
Water,[C8py][NTf2],288.15 K,1 atm,0.175 mol fraction
Water,[C8py][NTf2],293.15 K,1 atm,0.188 mol fraction
Water,[C8py][NTf2],298.15 K,1 atm,0.197 mol fraction
Water,[C8py][NTf2],303.15 K,1 atm,0.216 mol fraction
Water,[C8py][NTf2],308.15 K,1 atm,0.234 mol fraction
Water,[C8py][NTf2],313.15 K,1 atm,0.250 mol fraction
Water,[C8py][NTf2],318.15 K,1 atm,0.267 mol fraction
Water,[C3-3-C1py][NTf2],288.15 K,1 atm,0.206 mol fraction
Water,[C3-3-C1py][NTf2],293.15 K,1 atm,0.226 mol fraction
Water,[C3-3-C1py][NTf2],298.15 K,1 atm,0.236 mol fraction
Water,[C3-3-C1py][NTf2],303.15 K,1 atm,0.260 mol fraction
Water,[C3-3-C1py][NTf2],308.15 K,1 atm,0.270 mol fraction
Water,[C3-3-C1py][NTf2],313.15 K,1 atm,0.292 mol fraction
Water,[C3-3-C1py][NTf2],318.15 K,1 atm,0.310 mol fraction
Water,[C4-3-C1py][NTf2],288.15 K,1 atm,0.190 mol fraction
Water,[C4-3-C1py][NTf2],293.15 K,1 atm,0.202 mol fraction
Water,[C4-3-C1py][NTf2],298.15 K,1 atm,0.213 mol fraction
Water,[C4-3-C1py][NTf2],303.15 K,1 atm,0.232 mol fraction
Water,[C4-3-C1py][NTf2],308.15 K,1 atm,0.248 mol fraction
Water,[C4-3-C1py][NTf2],313.15 K,1 atm,0.261 mol fraction
Water,[C4-3-C1py][NTf2],318.15 K,1 atm,0.277 mol fraction
Water,[C4-4-C1py][NTf2],288.15 K,1 atm,0.219 mol fraction
Water,[C4-4-C1py][NTf2],293.15 K,1 atm,0.234 mol fraction
Water,[C4-4-C1py][NTf2],298.15 K,1 atm,0.247 mol fraction
Water,[C4-4-C1py][NTf2],303.15 K,1 atm,0.264 mol fraction
Water,[C4-4-C1py][NTf2],308.15 K,1 atm,0.285 mol fraction
Water,[C4-4-C1py][NTf2],313.15 K,1 atm,0.302 mol fraction
Water,[C4-4-C1py][NTf2],318.15 K,1 atm,0.319 mol fraction
[C4py][NTf2],Water,288.15 K,1 atm,0.3.31*10^-4 mol fraction
[C4py][NTf2],Water,293.15 K,1 atm,0.339*10^-4 mol fraction
[C4py][NTf2],Water,298.15 K,1 atm,0.355*10^-4 mol fraction
[C4py][NTf2],Water,303.15 K,1 atm,0.373*10^-4 mol fraction
[C4py][NTf2],Water,308.15 K,1 atm,0.398*10^-4 mol fraction
[C4py][NTf2],Water,313.15 K,1 atm,0.411*10^-4 mol fraction
[C4py][NTf2],Water,318.15 K,1 atm,0.453*10^-4 mol fraction
[C6py][NTf2],Water,288.15 K,1 atm,0.185*10^-4 mol fraction
[C6py][NTf2],Water,293.15 K,1 atm,0.196*10^-4 mol fraction
[C6py][NTf2],Water,298.15 K,1 atm,0.200*10^-4 mol fraction
[C6py][NTf2],Water,303.15 K,1 atm,0.207*10^-4 mol fraction
[C6py][NTf2],Water,308.15 K,1 atm,0.226*10^-4 mol fraction
[C6py][NTf2],Water,313.15 K,1 atm,0.243*10^-4 mol fraction
[C6py][NTf2],Water,318.15 K,1 atm,0.256*10^-4 mol fraction
[C8py][NTf2],Water,288.15 K,1 atm,0.309*10^-4 mol fraction
[C8py][NTf2],Water,293.15 K,1 atm,0.337*10^-4 mol fraction
[C8py][NTf2],Water,298.15 K,1 atm,0.350*10^-4 mol fraction
[C8py][NTf2],Water,303.15 K,1 atm,0.389*10^-4 mol fraction
[C8py][NTf2],Water,308.15 K,1 atm,0.420*10^-4 mol fraction
