solute_name,solvent_name,temperature,pressure,solubility
Methylparaben,Water,25.0 ℃,Not found,1.61 mg/mL
Ethylparaben,Water,25.0 ℃,Not found,0.598 mg/mL
Propylparaben,Water,25.0 ℃,Not found,0.22 mg/mL
Butylparaben,Water,25.0 ℃,Not found,0.113 mg/mL
Methylparaben,Water,25.0 ℃,Not found,1.681 mg/mL
Ethylparaben,Water,25.0 ℃,Not found,0.578 mg/mL
Propylparaben,Water,25.0 ℃,Not found,0.111 mg/mL
Butylparaben,Water,25.0 ℃,Not found,0.109 mg/mL
Ethylparaben,Water,25.0 ℃,Not found,0.514 mg/mL
Propylparaben,Water,25.0 ℃,Not found,0.218 mg/mL
Butylparaben,Water,25.0 ℃,Not found,0.104 mg/mL
Methylparaben,Water,25.0 ℃,Not found,1.68 mg/mL
Ethylparaben,Water,25.0 ℃,Not found,0.563 mg/mL
Propylparaben,Water,25.0 ℃,Not found,0.209 mg/mL
Butylparaben,Water,25.0 ℃,Not found,0.105 mg/mL
