solute_name,solvent_name,temperature,pressure,solubility
LiF,liquid lithium,723 K,Not found,52 appm
LiCl,liquid lithium,723 K,Not found,38 appm
LiBr,liquid lithium,723 K,Not found,11 appm
LiF,liquid lithium,773 K,Not found,78 appm
LiCl,liquid lithium,773 K,Not found,59 appm
LiBr,liquid lithium,773 K,Not found,17 appm
LiF,liquid lithium,823 K,Not found,113 appm
LiCl,liquid lithium,823 K,Not found,87 appm
LiBr,liquid lithium,823 K,Not found,25 appm
LiF,liquid lithium,873 K,Not found,156 appm
LiCl,liquid lithium,873 K,Not found,124 appm
LiBr,liquid lithium,873 K,Not found,36 appm
