solute_name,solvent_name,temperature,pressure,solubility
Deuterium,Liquid Lithium,276.0 C,Not found,0.12 mol%
Deuterium,Liquid Lithium,305.0 C,Not found,0.23 mol%
Deuterium,Liquid Lithium,328.0 C,Not found,0.33 mol%
Deuterium,Liquid Lithium,349.5 C,Not found,0.49 mol%
Deuterium,Liquid Lithium,364.5 C,Not found,0.69 mol%
Deuterium,Liquid Lithium,375.0 C,Not found,0.77 mol%
Deuterium,Liquid Lithium,397.0 C,Not found,0.99 mol%
Deuterium,Liquid Lithium,401.5 C,Not found,1.10 mol%
Deuterium,Liquid Lithium,417.0 C,Not found,1.39 mol%
Deuterium,Liquid Lithium,451.0 C,Not found,2.35 mol%
Deuterium,Liquid Lithium,456.0 C,Not found,2.63 mol%
