solute_name,solvent_name,temperature,pressure,solubility
β-Cyclodextrin,Water/Methanol(mol% = 0),Not found,Not found,1.60 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 10),Not found,Not found,1.00 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 20),Not found,Not found,0.71 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 30),Not found,Not found,0.50 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 40),Not found,Not found,0.40 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 50),Not found,Not found,0.34 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 60),Not found,Not found,0.26 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 65.7),Not found,Not found,Not found
β-Cyclodextrin,Water/Methanol(mol% = 70),Not found,Not found,0.10 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 72.4),Not found,Not found,Not found
β-Cyclodextrin,Water/Methanol(mol% = 80),Not found,Not found,0.05 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 81.5),Not found,Not found,Not found
β-Cyclodextrin,Water/Methanol(mol% = 90),Not found,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/Methanol(mol% = 96),Not found,Not found,Not found
β-Cyclodextrin,Water/Methanol(mol% = 100),Not found,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 0),Not found,Not found,1.60 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 10),Not found,Not found,1.82 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 20),Not found,Not found,2.01 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 30),Not found,Not found,2.20 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 40),Not found,Not found,1.80 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 50),Not found,Not found,1.30 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 60),Not found,Not found,0.80 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 65.7),Not found,Not found,Not found
β-Cyclodextrin,Water/Ethanol(mol% = 70),Not found,Not found,0.29 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 72.4),Not found,Not found,Not found
β-Cyclodextrin,Water/Ethanol(mol% = 80),Not found,Not found,0.10 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 81.5),Not found,Not found,Not found
β-Cyclodextrin,Water/Ethanol(mol% = 90),Not found,Not found,0.05 g/100 mL
β-Cyclodextrin,Water/Ethanol(mol% = 96),Not found,Not found,Not found
β-Cyclodextrin,Water/Ethanol(mol% = 100),Not found,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 0),Not found,Not found,1.80 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 10),Not found,Not found,2.00 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 20),Not found,Not found,2.10 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 30),Not found,Not found,2.20 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 40),Not found,Not found,2.70 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 50),Not found,Not found,6.30 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 60),Not found,Not found,16.00 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 65.7),Not found,Not found,47.00 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 70),Not found,Not found,Not found
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 72.4),Not found,Not found,76.50 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 80),Not found,Not found,Not found
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 81.5),Not found,Not found,75.00 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 90),Not found,Not found,74.50 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 96),Not found,Not found,73.00 g/100 mL
β-Cyclodextrin,Water/Dimethyl sulfoxide(mol% = 100),Not found,Not found,50.00 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 0),Not found,Not found,1.60 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 10),Not found,Not found,3.11 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 20),Not found,Not found,3.70 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 30),Not found,Not found,2.60 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 40),Not found,Not found,1.80 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 50),Not found,Not found,0.88 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 60),Not found,Not found,0.30 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 65.7),Not found,Not found,Not found
β-Cyclodextrin,Water/Acetonitrile(mol% = 70),Not found,Not found,0.10 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 72.4),Not found,Not found,Not found
β-Cyclodextrin,Water/Acetonitrile(mol% = 80),Not found,Not found,0.05 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 81.5),Not found,Not found,Not found
β-Cyclodextrin,Water/Acetonitrile(mol% = 90),Not found,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/Acetonitrile(mol% = 96),Not found,Not found,Not found
β-Cyclodextrin,Water/Acetonitrile(mol% = 100),Not found,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 0),Not found,Not found,1.60 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 10),Not found,Not found,2.10 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 20),Not found,Not found,2.20 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 30),Not found,Not found,1.88 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 40),Not found,Not found,1.30 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 50),Not found,Not found,0.90 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 60),Not found,Not found,0.50 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 65.7),Not found,Not found,Not found
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 70),Not found,Not found,0.20 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 72.4),Not found,Not found,Not found
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 80),Not found,Not found,0.19 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 81.5),Not found,Not found,Not found
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 90),Not found,Not found,0.05 g/100 mL
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 96),Not found,Not found,Not found
β-Cyclodextrin,Water/Tetrahydrofuran(mol% = 100),Not found,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 0),21 °C,Not found,1.60 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 5),21 °C,Not found,3.41 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 10),21 °C,Not found,4.80 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 15),21 °C,Not found,6.00 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 20),21 °C,Not found,7.00 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 25),21 °C,Not found,7.00 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 30),21 °C,Not found,6.90 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 40),21 °C,Not found,3.60 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 50),21 °C,Not found,2.32 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 60),21 °C,Not found,1.10 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 70),21 °C,Not found,0.40 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 80),21 °C,Not found,0.10 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 90),21 °C,Not found,0.02 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 100),21 °C,Not found,0.00 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 0),25 °C,Not found,1.80 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 5),25 °C,Not found,4.30 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 10),25 °C,Not found,6.03 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 15),25 °C,Not found,7.40 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 20),25 °C,Not found,8.10 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 25),25 °C,Not found,8.70 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 30),25 °C,Not found,8.30 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 40),25 °C,Not found,6.10 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 50),25 °C,Not found,3.01 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 60),25 °C,Not found,1.40 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 70),25 °C,Not found,0.50 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 80),25 °C,Not found,0.20 g/100 mL
β-Cyclodextrin,Water/2-Propanol(mol% = 90),25 °C,Not found,0.10 g/100 mL
