solute_name,solvent_name,temperature,pressure,solubility
O2,1M LiTFSI in PC/EC (1:1 wt),25 C,Not found,5.68 mg/L
O2,1M LiTFSI in PC/DME (1:1 wt),25 C,Not found,10.35 mg/L
O2,1M LiTFSI in PC/DEE (1:1 wt),25 C,Not found,12.18 mg/L
O2,1M LiTFSI in PC/BEE (1:1 wt),25 C,Not found,10.16 mg/L
O2,1M LiTFSI in PC/DG (1:1 wt),25 C,Not found,8.21 mg/L
O2,1M LiTFSI in PC/DPG (1:1 wt),25 C,Not found,7.66 mg/L
O2,1M LiTFSI in PC/EDG (1:1 wt),25 C,Not found,8.60 mg/L
O2,1M LiTFSI in PC/BDG (1:1 wt),25 C,Not found,7.42 mg/L
O2,1M LiPF6 in PC/EC (1:1 wt),25 C,Not found,5.19 mg/L
O2,1M LiTFSI in PC/EC (1:1 wt),25 C,Not found,5.68 mg/L
O2,1M LiClO4 in PC/EC (1:1 wt),25 C,Not found,5.22 mg/L
O2,1M LiI in PC/EC (1:1 wt),25 C,Not found,3.89 mg/L
O2,1M LiBr in PC/EC (1:1 wt),25 C,Not found,3.87 mg/L
O2,1M LiSO3CF3 in PC/EC (1:1 wt),25 C,Not found,5.32 mg/L
O2,1M LiBOB in PC/EC (1:1 wt),25 C,Not found,4.32 mg/L
